lightcurve_x,lightcurve_y
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9999847996096674
1.0,0.9815212589261417
1.0,0.9492499091439527
1.0,0.909180309760564
1.0,0.8638133184562459
1.0,0.8147923286236542
1.0,0.7633778039155794
1.0,0.7106248161806457
1.0,0.6758624881707409
1.0,0.7285443528288515
1.0,0.779905808129033
1.0,0.8290859202709115
1.0,0.8751654073548463
1.0,0.9170953818942965
1.0,0.9535571985558131
1.0,0.9825943835638178
1.0,0.9997323013624627
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9688932264762891,1.0
0.9035628333387558,1.0
0.8225663906306822,1.0
0.7330622872969559,1.0
0.6931019427708413,1.0
0.7846268248418136,1.0000000002108083
0.8700089858584898,1.0
0.9432349276991119,1.0
0.993943298592418,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.000000000298128
1.0,1.000000000298128
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9919822807907306
1.0,0.9671663410121597
1.0,0.9336069505311143
1.0,0.8938526859617966
1.0,0.8494253805312447
1.0,0.8014661491308012
1.0,0.7509390000855205
1.0,0.6987235042297647
1.0,0.687664719358423
1.0,0.7407011287750893
1.0,0.7928147994165088
1.0,0.8430095018054318
1.0,0.8901279883572655
1.0,0.9327245209199682
1.0,0.9687682015905119
1.0,0.9945978437947579
1.0,0.9999999999859303
1.0,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0000000002108083
1.0,1.0
1.0,1.0000000002108083
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.000000000298128,1.0
1.0,1.0
1.000000000298128,1.0
1.0,0.9919325202236686
1.0,0.9643474441914867
1.0,0.9272538460141959
1.0,0.883939996279988
1.0,0.83632582219606
1.0,0.7858062113109915
1.0,0.7335108739493853
1.0,0.6804201995246284
0.9999999999859303,0.7059035866138145
1.0,0.7579393068306431
1.0,0.808169664384184
1.0000000000255391,0.8557072708275245
1.0000000000255391,0.8995708009484786
1.0,0.9385834053872976
1.0000000000255391,0.971140778169012
1.0,0.9944156081181479
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.989111891747842,1.0
0.9342664418966345,1.0
0.858939860370741,1.0
0.7724083174121708,1.0
0.6804330942788219,1.0
0.7455542925763686,1.0000000002108083
0.8342275491371093,1.0000000002108083
0.9135864574373372,1.0
0.9759517912748993,1.0
1.0,1.0
1.0,1.0
1.0,1.0
