lightcurve_x,lightcurve_y
1.0,0.8930068165111552
1.0,0.7296295017042072
1.0,0.7800514242856732
1.0,0.9324724994169097
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9948505651083597,1.0
0.9619573865427868,1.0
0.9140773973200622,1.0
0.8565213791769538,1.0
0.7923768519951215,1.0
0.7240338551659972,1.0
0.6797306798366987,1.0
0.7502140943242737,1.0
0.8186252124287402,1.0
0.8825470075305432,1.0
0.9388902526858942,1.0
0.9828180307860049,1.0
1.0,1.0
1.0000000002108083,0.980983518966379
1.0,0.9017049582771627
1.0,0.7978369779916586
1.0,0.6835176585303878
1.0,0.7649084518559119
1.0,0.8717126272727757
1.0,0.9590447648314101
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0000000002108083,1.0
1.0,1.0
1.0,1.0
1.0000000002108083,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.98640198947501,1.0
0.93647561613465,1.0
0.8695817681037648,0.9801193878308266
0.7926157630671649,0.9424627336664949
0.7099674648282229,0.8955431501127646
0.7080829143249593,0.8425825760657141
0.7914092645537609,0.7856822415995601
0.869579897326781,0.7264605002367474
0.9378343357626524,0.6670417834924495
0.9883521985990017,0.7269042601886393
1.0,0.7852428774217663
1.0,0.8407987587077884
1.0,0.8921718426909161
1.0,0.9376464157740758
1.0,0.9747684030605029
1.0,0.9985074934600733
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0000000002108083,1.0
1.0,1.0
1.0,1.0
1.000000000298128,1.0
1.0,1.0
1.000000000298128,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999999997507832,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9959187920308817,1.0
0.9462234565913172,1.0
0.872044609797336,1.0
0.7848009986683938,1.0
0.6909792223873475,1.0
0.7375059317314585,1.0
0.8289169263896591,1.0
0.9108625260578794,1.0
0.9752475999288398,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9907952052774888
1.0,0.9431957200770531
1.0,0.8771205824411111
1.0,0.8003992542496061
1.0,0.7177812700232592
1.0,0.7002672250973173
1.0000000000255391,0.7835584464469294
1.0,0.8617476862795035
1.0,0.9304202293644466
1.0,0.9828773196119119
1.0,1.0
1.0000000000255391,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0000000002108083
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0000000002108083
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.000000000298128
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.000000000298128
1.0,1.0
1.0,0.9989375920535262
1.0,0.9903815491674736
1.0,0.977698508823991
1.0,0.9623048877821362
0.9990922499871003,0.9448928005605743
0.9846564979832789,0.9259114202318184
0.9619596604280706,0.905688862779321
0.9339435586041298,0.8844813981372672
0.9019771375831537,0.8624979979443627
0.8669623234367159,0.8399142625598229
0.8295838362594001,0.8168810514278327
0.7904066577409344,0.7935301908019926
0.7499242954648137,0.7699784441410706
0.7085867450984122,0.7463303891913674
0.6668189452822629,0.7226805756253082
0.7082986933606922,0.699115192610779
0.749684968430848,0.6757133911569136
0.7902458297078012,0.6807849676698282
0.8295269551667102,0.7036450809128271
0.8670281709087679,0.7261364285401413
0.9021746225431654,0.7481987571742195
0.934266774008193,0.76977479103756
0.9623788859917496,0.7908096425658134
0.9850964142614244,0.8112502380302995
0.999314006942105,0.8310447224665617
1.0,0.8501418251558717
1.0,0.868490142361358
1.0,0.8860372885046709
1.0,0.9027288406877568
1.0,0.9185069599344405
1.0,0.9333084965042744
1.0,0.9470622406598924
1.0,0.95968467876302
1.0,0.9710729288655161
1.0,0.981091752179405
1.0,0.9895459613461257
1.0,0.9961055787913318
1.0,0.9999228005448102
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0000000002108083
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0000000002108083
1.0,1.0
1.0,1.0
1.0,1.0000000002108083
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9885069977825823
1.0,0.9635593075834076
1.0,0.9314138903124743
1.0,0.8941498295949124
1.0,0.8530592998898882
1.0,0.8091056204927459
1.0,0.763083170014385
1.0,0.7156930455827807
1.0,0.6675867130674362
1.0,0.713937269216978
1.0,0.7615749288823943
1.0,0.807991424437415
1.0,0.8524560598729279
1.0,0.8941284748382282
1.0,0.9319753418349613
1.0,0.9476650084369109
1.0,0.9382944167739654
1.0,0.9049684767793623
1.0,0.8550541601703304
1.0,0.8008085641154374
1.0,0.7437244248114779
1.0,0.685086047794779
1.0,0.7072513996692686
1.0,0.7654530810134835
1.0,0.8216362001365783
1.0,0.874452017413959
1.0,0.922279005072323
1.0,0.9629147647608185
1.0,0.9925491433989615
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9990654100263694
1.0,0.9972492278219888
1.0,0.9949695786993968
1.0,0.9923797732187802
1.0,0.9895778544866201
1.0,0.9866372059358236
1.0,0.9836174377206371
1.0,0.9805694319612701
1.0,0.977538049291533
1.0,0.9745637217046554
1.0,0.9716834491679821
