id,period,duration,depth
3863594,0.35505686100624406 d,0.33 d,0.0015972479636609336
10417986,0.3675223445256203 d,0.33 d,7.720736461351082e-05
8912468,0.35911692017014907 d,0.33 d,0.0006275063632539374
8758716,0.3748333532106521 d,0.33 d,0.00414288388830759
10855535,0.3524738939424174 d,0.33 d,0.003043451433670437
9472174,0.3353705233365813 d,0.33 d,0.004390439752497489
9612468,0.35306092405176287 d,0.33 d,0.00016307646651894973
6613627,0.3778397248484355 d,0.33 d,0.0018118913017305502
5302006,0.37804545925306077 d,0.33 d,0.0008494595015134867
9898401,0.3818468743823387 d,0.33 d,0.0006442839357439767
7375612,0.35775327269675467 d,0.33 d,0.0027585097874880463
5872696,0.43148330042170635 d,0.05 d,0.0021028382693491377
7767774,0.37483326273466255 d,0.33 d,0.0006122256382287132
12350008,0.3693223024120704 d,0.33 d,0.0005911557913805457
10684673,0.3847842450893614 d,0.33 d,0.004204232603907484
9532219,0.3963029974117737 d,0.33 d,0.019560562544622174
6699679,0.4020241083162226 d,0.33 d,0.0012032985353989342
6287172,0.4081193552961656 d,0.33 d,0.0007438489138592789
11825204,0.35908288619613266 d,0.33 d,0.004497711499156
4921906,0.42752809169882383 d,0.05 d,0.009030398888164863
6387887,0.4338135247488449 d,0.33 d,0.08631903514519602
8288741,0.43926317182632 d,0.25 d,0.00015803142768738482
12055255,0.4418630399709615 d,0.05 d,0.03782894039001057
11013201,0.35775317956531466 d,0.33 d,8.026632854306429e-05
8108785,0.45765397795637164 d,0.05 d,0.1075080660162631
1572353,0.4578402865096018 d,0.05 d,0.04789634626714514
10288502,0.46028700590679356 d,0.05 d,0.007565108368218801
10453521,0.44844719958463836 d,0.05 d,0.00041566342437979995
9238207,0.4627396786031953 d,0.05 d,0.04998892424464586
5166136,0.35087328048887484 d,0.33 d,0.006615465535613177
8555795,0.35169941168655344 d,0.33 d,0.0008945421485678403
6144827,0.3519205287153292 d,0.33 d,0.012211031173784762
10030943,0.35505674801176 d,0.33 d,0.003152001136085802
