id,period,duration,depth
1026032,730349.3373611654,17280.0,0.0035193722008107
1026957,1127302.19445964,28512.0,0.0016874949941911
1161345,370706.16202258045,4320.0,0.0008693979287935
1295531,72815.18666950992,28512.0,0.0079799723572021
1571511,31406.444847657254,28512.0,4.796141036363742e-05
1572353,39557.4007544296,4320.0,0.0478963462671451
1573836,102536.6522456263,28512.0,0.000168171597805
1722276,30420.265997858452,28512.0,7.878957972038528e-05
1868650,28628.33373494106,28512.0,0.0001213321721913
2010607,803598.1233736421,28512.0,0.0001905708463961
2012362,33343.84689632622,28512.0,0.0118913448582381
2141697,42905.08685472065,21600.0,0.0284300913876306
2159783,32303.42700126965,28512.0,0.1742922207489848
2162283,39172.696700803026,28512.0,0.0069594482014535
2162994,177112.00497435956,17280.0,0.1508081749710145
2302092,50905.39474589685,4320.0,0.1122151511622699
2305277,32718.337044797194,28512.0,0.0300444572819586
2305372,121219.67386691539,12960.0,0.5184441170216274
2306740,63244.70425291804,28512.0,0.0022156992382127
2306756,31463.660942105504,28512.0,2.903851584023348e-05
2307199,30425.047068199532,28512.0,7.828404746608431e-05
2308957,95931.16796643724,17280.0,0.2394986548653846
2309587,158935.71679193812,28512.0,0.015236711183367
2309719,30339.43975074733,28512.0,4.7347783200165535e-05
2435971,35218.174997463204,28512.0,0.0085651583368691
2437038,34694.324036232494,28512.0,0.1651940937791333
2437452,624396.5388304872,28512.0,0.0082321699677437
2440757,123857.25504559468,4320.0,0.0015880586021666
2442084,31935.74168149745,28512.0,0.0001732647676005
2444187,33715.489089809285,28512.0,0.2123613057604962
2444348,84746.98181275294,28512.0,0.0002674675118635
2445134,363485.7762798731,17280.0,0.0015328597525031
2445975,97673.87324552456,28512.0,0.0030719349183287
2447893,57157.51203035615,4320.0,0.1256144733987886
2450566,79441.14216623706,28512.0,0.002384583906058
2556127,36190.711598740294,28512.0,0.0020460919529737
2557430,56070.452138453744,8640.0,0.0227492713556173
2570289,36192.60587586938,28512.0,0.0281412116308775
2571439,55454.93545189577,4320.0,0.0286378667960174
2576107,30729.29279713771,28512.0,0.0001709991444112
2576692,31045.854393679572,28512.0,3.828371186095064e-05
2577756,37576.48672513246,28512.0,0.0403003335739024
2580872,706355.2291384428,4320.0,0.0078689980461675
2693092,1174320.416841962,12960.0,0.0026581903638381
2694741,56460.022480478496,4320.0,0.0673789570465362
2695740,156170.42575864532,28512.0,0.0412966638270581
2696703,125830.62601845726,28512.0,0.0098302974525897
2708156,163418.82348093568,17280.0,0.4972480263309773
2711114,123541.15111397448,8640.0,0.0012738457235698
2715007,38487.87351092168,28512.0,0.0075712626435929
2715417,30627.20359906727,28512.0,0.0333902234756732
2717141,34131.56908568466,28512.0,0.2087709504207648
2719873,741519.7903459875,4320.0,0.0047927023899518
2720096,31233.343234518255,28512.0,7.544274175593762e-05
2720354,121829.84692414074,28512.0,0.0052611294120533
2831632,111197.47563787235,28512.0,0.0045323215706424
