id,period_x,duration,depth,period_y,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
5771719,530462.2738244017,12960.0,0.0047873929765914,12.264877,4.04e-05,54972.304212,0.033857,0.11,71.1943,16.1573,14.137,5425.0,True
5771961,30401.57386493305,28512.0,9.464679345817178e-06,26.0664367,0.0001163,55009.861435,-1.0,-1.0,71.2546,16.0905,10.561,6977.0,True
5774375,133885.21480609663,17280.0,0.2986729678935016,1.5499774,2e-06,54965.677949,0.044993,0.6,71.6501,15.2968,13.939,5173.0,True
5779852,30802.62700301256,28512.0,5.264853558743131e-05,504.1559201,0.0073539,55325.292783,0.02707,0.0,72.3596,13.7281,14.183,6081.0,False
5781192,817274.2227048806,4320.0,0.0151323510648382,9.4599934,2.67e-05,54961.882581,0.032163,0.14,72.4864,13.3708,12.989,5372.0,True
5783676,34694.3525008694,28512.0,0.0410493987219137,0.4014453,3e-07,54964.498776,0.021396,0.97,72.7727,12.8053,13.476,5911.0,False
5785586,39719.81866900499,4320.0,0.0266784167694102,0.4596214,3e-07,54964.816145,0.012653,0.59,72.9635,12.4213,15.756,5125.0,False
5786154,1098672.5524952458,28512.0,0.0161615428672321,197.9207814,0.001923,55162.610767,0.954804,0.18,72.9566,12.2876,13.534,4743.0,False
5790807,70470.82405218841,28512.0,0.0002202451745412,79.9962462,0.0005436,54960.128986,-1.0,-1.0,73.5392,11.2938,9.954,6349.0,True
5790912,33166.77171902428,28512.0,0.0776570639168029,0.3833172,3e-07,54964.715689,0.021475,0.78,73.4752,11.2316,14.494,5733.0,False
5792093,51887.896054774414,8640.0,0.0227470766981859,0.6005881,5e-07,54964.643362,0.033099,0.71,73.6087,10.9669,13.906,6312.0,False
5795648,393658.4176846888,8640.0,0.0045538294637183,4.5533695,9.3e-06,54954.773067,0.021005,0.16,74.008,10.2404,11.471,6052.0,True
5796675,696261.2525274237,8640.0,0.0014069728419398,16.0806761,5.8e-05,54967.517223,0.024754,0.05,74.1665,10.0684,13.653,4628.0,True
5801571,72452.03604281526,4320.0,0.0019686072519097,1.6771942,2.2e-06,54965.31282,0.011656,0.35,74.6186,9.1776,14.784,6037.0,True
5802285,104417.27404920428,4320.0,0.002516376297524,2.4170498,3.8e-06,54964.9844,0.012577,0.26,74.6885,9.0476,15.349,4791.0,False
5802470,163777.9784661899,8640.0,0.03517359627263,3.7918726,7.2e-06,54967.133705,0.021845,0.26,74.6866,9.0057,13.764,5418.0,False
5802834,47187.299554078716,28512.0,0.0220361369999685,1.0924429,1.2e-06,54954.476652,0.061046,0.88,74.7026,8.9164,12.211,6077.0,False
5807579,771059.9155957138,4320.0,0.0027513337715322,17.8443251,6.73e-05,54966.693941,0.031135,0.07,75.1411,8.2262,13.745,-1.0,False
5809827,52793.20530489162,12960.0,0.0974435747784234,1.22211,1.4e-06,54965.492031,0.039255,0.67,75.2734,7.8701,13.538,6076.0,False
5809868,37959.59684103373,28512.0,0.1145408164704993,0.4393902,3e-07,54964.797027,0.025501,0.8,75.3238,7.8911,12.955,6878.0,False
5812701,30012.128283730355,28512.0,1.726655784821911e-05,35.71,0.0001756,54997.460654,0.064677,0.08,75.4989,7.4698,11.353,6419.0,True
5817566,363203.32579415303,21600.0,0.0868059947860413,8.4121982,2.26e-05,54961.017551,0.071903,0.47,75.9476,6.8366,11.684,7994.0,True
5818706,31096.764507475957,28512.0,1.8994834800803023e-05,14.9599406,5.14e-05,55003.064617,-1.0,-1.0,75.9989,6.6743,11.493,6123.0,True
5820209,56688.68345048814,12960.0,0.042476178656902,0.6560869,6e-07,54964.813901,0.094428,0.81,76.1323,6.4945,13.495,4750.0,False
