3863594,0.3551280627527627 d,0.33 d,0.0012241882983118706
10417986,0.3549365509813331 d,0.33 d,5.616120663660942e-05
8912468,0.3590331263533302 d,0.33 d,0.0008503582262119252
8758716,0.3534757324944406 d,0.33 d,0.0034741162816152456
10855535,0.3524738939424174 d,0.33 d,0.003043451433670437
9472174,0.33531001116470915 d,0.33 d,0.000704731250211246
9612468,0.35334931907669165 d,0.33 d,0.000174690691256738
6613627,0.37694926769463316 d,0.33 d,0.0017655327697055625
5302006,0.37804545925306077 d,0.33 d,0.0008494595015134867
9898401,0.3818468743823387 d,0.33 d,0.0006442839357439767
7375612,0.3580893763184825 d,0.33 d,0.0029432994180592924
5872696,0.4315481251013697 d,0.05 d,0.0019886281947719448
7767774,0.4333465881611084 d,0.05 d,0.0014069945745196117
12350008,0.3693223024120704 d,0.33 d,0.0005911557913805457
10684673,0.3850999044650736 d,0.33 d,0.00013893233613643073
6699679,0.4024460030571454 d,0.33 d,0.001262054714939433
6287172,0.40763665439470803 d,0.33 d,0.0006258165197098493
11825204,0.35908288619613266 d,0.33 d,0.004497711499156
4921906,0.42752809169882383 d,0.05 d,0.009030398888164863
8288741,0.43926317182632 d,0.25 d,0.00015803142768738482
12055255,0.4418630399709615 d,0.05 d,0.03782894039001057
11013201,0.3576030723308514 d,0.33 d,0.00011374659856097337
8108785,0.45765397795637164 d,0.05 d,0.1075080660162631
1572353,0.4578402865096018 d,0.05 d,0.04789634626714514
10288502,0.46028700590679356 d,0.05 d,0.007565108368218801
5166136,0.35087328048887484 d,0.33 d,0.006615465535613177
8555795,0.35169941168655344 d,0.33 d,0.0008945421485678403
6144827,0.3519205287153292 d,0.33 d,0.012211031173784762
10030943,0.3533492956129194 d,0.33 d,0.002827759518553471
10965091,0.353753770097251 d,0.33 d,0.15638972506294896
2715417,0.35448152313735265 d,0.33 d,0.033390223475673206
9077796,0.35753581626099545 d,0.33 d,0.014166930333803554
6050116,0.3600059854042395 d,0.33 d,0.18013678596193516
6350020,0.3626865167822613 d,0.33 d,0.003588042720151636
7198474,0.3633923446373343 d,0.33 d,0.0014679424598876825
7546791,0.36374628204292425 d,0.33 d,0.025188454898575366
7871200,0.3639615351171807 d,0.33 d,0.147317257676469
3972629,0.36636309004148715 d,0.33 d,0.10246864153053027
9345163,0.3678065254025266 d,0.33 d,0.20089076521518312
8816790,0.36847186344617233 d,0.33 d,0.00015849067733033717
12216817,0.36951038884701987 d,0.33 d,0.016228551900263104
11494583,0.3725151978896051 d,0.33 d,0.06161539566740145
4738426,0.37294890606024644 d,0.33 d,0.005209083555039487
8122124,0.37413197771123696 d,0.33 d,0.010313042489946241
9032671,0.3746259742488711 d,0.33 d,0.003462356479812881
5960283,0.3744446540962771 d,0.33 d,0.012261693073175832
9004380,0.37544884145092644 d,0.33 d,0.009133128390923551
4857282,0.3762047811496353 d,0.33 d,0.0006042043050842784
11336707,0.3768381382856634 d,0.33 d,0.03733371908586824
12104285,0.37721874807669986 d,0.33 d,0.09759021938622807
8367007,0.37734544624163807 d,0.33 d,0.0015250499271927957
11769739,0.37842900675578733 d,0.33 d,0.014395444263789057
4138301,0.38009798558540153 d,0.33 d,0.0077500940149113
9478836,0.38139181110144615 d,0.33 d,0.0004304722239162155
12508348,0.3832764467195209 d,0.33 d,0.0027513187053794515
5685072,0.38420414542723624 d,0.33 d,0.21158333869974474
3839964,0.3840063164558173 d,0.33 d,0.03435031945227854
12598713,0.3857465187053793 d,0.33 d,0.011090678200939024
9700154,0.38605777575958833 d,0.33 d,0.08674774797914883
2856960,0.3880629108788087 d,0.33 d,0.0021955308011581956
7339345,0.38934489259243377 d,0.33 d,0.13678901595239418
9288175,0.39152143907789994 d,0.33 d,0.0024155306775991334
9239684,0.3927565187898083 d,0.33 d,0.0009726201077828443
12004834,0.39324002465670876 d,0.33 d,0.03483540127300068
11284547,0.39351629918356057 d,0.33 d,0.014054818831159653
8045121,0.39480466939291464 d,0.33 d,0.002331991782733137
6106771,0.39566991081369396 d,0.33 d,0.1196735420748106
10557008,0.3984133563884495 d,0.33 d,0.09930369462222112
2437038,0.40155467634528347 d,0.33 d,0.16519409377913333
7269843,0.4023484700523559 d,0.33 d,0.07812706776704924
6072578,0.4046726906108785 d,0.33 d,0.0004349278379625337
2435971,0.40761776617434264 d,0.33 d,0.008565158336869182
9026766,0.40865901330461196 d,0.33 d,0.12225373632709327
3832382,0.4086591626091045 d,0.33 d,0.15110783438771408
7697065,0.4086585597068028 d,0.33 d,0.0075491970921488065
9760531,0.40928469565572 d,0.33 d,0.012571498311939107
3743834,0.41038004726257227 d,0.33 d,0.1388361750014096
9935311,0.41068248255190093 d,0.33 d,0.09168217408212054
11704155,0.4107318456154253 d,0.33 d,0.03224357131537985
4385109,0.41181256535543365 d,0.33 d,0.02293193188828527
4563150,0.4121917841368976 d,0.33 d,0.07837867223773759
5104097,0.41310365580837793 d,0.33 d,0.00043855544103948887
9772642,0.41313627962802457 d,0.33 d,0.09315516851674076
7680593,0.414786619651014 d,0.33 d,0.017082667332618998
3853259,0.4150164562031644 d,0.33 d,0.04208800364633574
11566174,0.41547926452192485 d,0.33 d,0.11376831051695813
3354616,0.4154778672382013 d,0.33 d,0.0013401778256108576
