id,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
9478836,0.2540637,1e-07,55002.132513,0.01185,0.71,79.7348,10.2589,15.218,4939.0,False
12508348,0.2556047,1e-07,54951.660784,0.014908,0.97,82.7273,16.6052,13.428,8961.0,False
5685072,0.2559051,2e-07,54964.626512,0.01287,0.73,70.9453,16.663,13.187,4626.0,False
3839964,0.2561499,1e-07,54964.791432,0.016135,0.8,70.4116,12.7856,14.602,5332.0,False
12598713,0.257179,1e-07,54953.674386,0.014574,0.94,82.5187,17.8034,12.762,5189.0,False
9700154,0.2572534,1e-07,54964.788932,0.016893,0.8,77.0291,16.7085,15.495,4315.0,False
9662581,0.2580109,2e-07,55002.116224,0.015322,0.79,80.0548,10.4505,15.808,4773.0,False
9777987,0.2585001,4e-07,55000.067554,0.032309,0.76,79.4699,11.7773,16.283,-1.0,False
2856960,0.2585073,1e-07,54964.658506,0.00731,0.64,71.0098,9.5159,15.615,4733.0,True
5611561,0.2586947,2e-07,55000.00942,0.014541,0.75,72.4708,12.9444,13.971,-1.0,False
7339345,0.2596643,1e-07,54964.777196,0.01378,0.76,72.5365,18.1839,15.2,4877.0,False
9288175,0.2609349,1e-07,54964.740797,0.014553,0.99,78.7476,11.5,12.549,6972.0,False
9392331,0.2617622,2e-07,55000.339626,0.015183,0.77,76.3562,17.1871,15.699,5993.0,False
9239684,0.2618159,1e-07,54964.790149,0.014846,0.99,80.0592,8.8409,12.578,5827.0,False
12004834,0.2623168,1e-07,55002.041,0.007446,0.63,80.911,18.3801,14.718,3576.0,True
11284547,0.2624405,1e-07,54964.534976,0.014846,0.96,78.9896,19.1803,15.45,5117.0,False
8045121,0.2631774,1e-07,54953.761215,0.014854,1.0,77.8672,9.1406,11.971,6990.0,False
6106771,0.2638263,2e-07,54964.616674,0.015617,0.77,71.8775,15.6716,15.491,5559.0,False
10557008,0.2654186,2e-07,54964.637009,0.015123,0.8,82.0258,9.7163,14.662,5088.0,False
5785551,0.2666875,2e-07,55002.019292,0.013822,0.74,72.9526,12.4258,15.094,5034.0,False
9388303,0.2667035,2e-07,55002.002211,0.014314,0.78,75.7092,18.6204,15.551,5385.0,False
5773205,0.2668707,1.7e-06,55000.123267,0.012056,0.62,71.464,15.6744,19.742,-1.0,False
2437038,0.2676785,2e-07,54964.980693,0.049493,0.87,69.9235,10.907,15.955,5461.0,False
7269843,0.2682156,2e-07,54964.567796,0.016728,0.81,73.9048,14.7785,15.962,5002.0,False
6072578,0.2696718,2e-07,54862.142079,0.015159,0.77,76.5573,6.3477,14.677,5017.0,False
8028158,0.2710391,3.3e-06,55110.129439,0.015036,0.8,75.9632,12.6156,15.93,5484.0,False
2435971,0.271828,2e-07,54964.815967,0.018215,0.94,69.9236,11.0114,14.695,-1.0,False
9026766,0.2721278,2e-07,54964.846798,0.015238,0.76,77.9879,11.991,14.998,4880.0,False
10802917,0.2724524,2e-07,54999.905793,0.014633,0.74,80.7883,12.9495,15.867,4937.0,False
3832382,0.2726487,2e-07,54964.603149,0.014831,0.75,69.4296,14.9544,15.691,4454.0,False
7697065,0.2727656,2e-07,54964.749102,0.013198,0.7,77.1682,9.3134,15.115,5126.0,False
9760531,0.2727979,2e-07,54953.906065,0.016139,1.0,77.1273,16.8249,9.54,6742.0,True
5956588,0.2729067,2e-07,55001.906729,0.018724,0.83,73.2661,12.1578,15.833,5202.0,False
9137819,0.2735499,-1.0,54999.981054,0.042341,0.76,-1.0,-1.0,-1.0,-1.0,False
3743834,0.2736148,2e-07,54964.543136,0.016525,0.76,71.0807,11.1568,14.076,4889.0,True
9935311,0.2737752,2e-07,55001.838876,0.030067,0.82,76.5392,19.1823,14.344,4455.0,False
11704155,0.2738674,2e-07,54953.604573,0.016543,0.94,80.4473,17.9077,12.6,5118.0,False
2448320,0.2741085,2e-07,55002.065503,0.015835,0.93,70.7351,9.2544,15.858,5160.0,False
7335517,0.2745039,2e-07,55001.920777,0.012738,0.98,72.0625,19.5456,15.75,10758.0,True
8739802,0.2745129,2e-07,55001.999865,0.014498,0.93,75.2495,17.1308,14.882,5002.0,False
4385109,0.2746477,2e-07,54964.667954,0.016078,0.9,73.6506,7.4831,15.133,4739.0,False
4563150,0.2747205,2e-07,54964.769475,0.016743,0.8,72.3477,10.4208,13.997,4865.0,False
5104097,0.2753953,2e-07,55000.035311,0.016989,0.87,73.2338,9.9442,15.447,6224.0,False
9772642,0.2754317,2e-07,54953.633778,0.016441,0.8,78.8888,13.1018,13.547,4927.0,False
8624778,0.2762617,3.1e-06,55000.117411,0.015918,0.81,76.87,12.8816,17.71,6001.0,False
7680593,0.2763915,2e-07,54964.777089,0.015677,0.97,75.3924,12.6876,15.445,5169.0,False
3853259,0.2766478,2e-07,54964.780871,0.015948,0.98,71.7257,9.9958,13.922,4467.0,False
11566174,0.2768752,2e-07,54964.604431,0.015084,0.77,82.4065,12.8878,14.957,5300.0,False
3354616,0.2769826,2e-07,55000.188881,0.014963,0.76,72.1142,8.1852,15.926,5093.0,False
10074939,0.2770936,2e-07,55063.305037,0.015031,0.76,78.9823,13.8907,15.888,4812.0,False
2570289,0.2790278,2e-07,54964.579321,0.017007,0.9,70.011,10.8936,15.33,5966.0,False
11246163,0.2792275,2e-07,54964.563148,0.016501,0.79,81.1613,14.0329,14.605,5277.0,False
