title  Photometry data for APASS_J200615.5+442725 from search centered on 20_06_15.5_+44_27_24.6 using the apass calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
APASS_J200615.5+442725	2413438.614588	1895.668807	12.18	 0.12	13.79	301.56482	 44.45718	-40.7	0.440	a01635	151	128	1483669504	648	0.007500	7	16,17,18,19,21,22,27,28,30	3,7,9
APASS_J200615.5+442725	2413438.624443	1895.668834	12.14	 0.13	14.47	301.56477	 44.45700	 -0.5	0.149	i13317	152	128	1349453824	513	0.000700	7	11,16,17,18,19,21,22,28,30	0,9
APASS_J200615.5+442725	2413439.746354	1895.671908	12.34	 0.23	13.08	301.56430	 44.45684	 81.3	0.334	i13366	152	67108864	1349386243	640	0.000700	26	0,1,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2413441.569806	1895.676904	12.76	 0.41	12.77	301.56677	 44.45749	 22.4	0.428	i13421	152	8396928	1349386242	656	0.000700	7,13,23	1,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2413449.704382	1895.699190	12.63	 0.21	13.63	301.56344	 44.45568	 41.0	0.554	a01663	151	343965824	1080688643	641	0.007500	7,15,23,26,28	0,1,17,19,21,22,30	0,7,9
APASS_J200615.5+442725	2413450.581362	1895.701593	12.14	 0.12	12.62	301.56476	 44.45732	-66.8	0.549	a01670	151	8192	1349386240	640	0.007500	13	17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2413468.526551	1895.750758	12.30	 0.10	14.04	301.56435	 44.45715	 57.7	0.389	i13578	152	128	1349451776	657	0.000700	7	16,17,18,19,21,22,28,30	0,4,7,9
APASS_J200615.5+442725	2413503.532722	1895.846665	12.22	 0.20	12.77	301.56487	 44.45731	 51.1	0.307	i13780	152	128	1345257472	657	0.000700	7	16,17,18,19,21,28,30	0,4,7,9
APASS_J200615.5+442725	2413614.909871	1896.151393	12.49	 0.13	12.68	301.56521	 44.45717	 69.2	0.514	i14520	151	268443776	1349124096	641	0.000700	7,13,28	17,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2413643.810193	1896.230356	12.51	 0.16	13.03	301.56482	 44.45716	 52.5	0.061	i14711	151	128	1349451776	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
