title  Photometry data for N0302221335 from search centered on 20_06_15.4553_+44_27_24.793 using the gsc2.3.2 calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
N0302221335	2412948.839445	1894.326957	12.38	 0.34	13.13	301.56475	 44.45741	 52.9	0.607	a00582	97	268451840	1349214208	0	0.007500	14,28	13,14,16,17,19,21,22,28,30	UNINIT
N0302221335	2412993.612858	1894.449624	12.53	 0.29	13.91	301.56486	 44.45703	 61.3	0.309	i11180	97	0	1349476352	0	0.000700		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2412998.623981	1894.463353	12.70	 0.38	13.45	301.56291	 44.45611	 72.3	0.269	i11198	103	75497600	1349410819	0	0.000700	7,23,26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413051.560716	1894.608386	12.38	 0.37	14.07	301.56497	 44.45748	 46.6	0.504	i11325	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413059.604715	1894.630424	12.21	 0.23	14.05	301.56484	 44.45709	-26.5	0.222	a00820	97	0	1349476352	0	0.007500		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2413095.579090	1894.728984	12.57	99.00	13.03	301.56393	 44.45671	-64.5	0.513	a00874	97	41957376	1349410816	0	0.007500	11,12,13,23,25	13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413113.543572	1894.778202	11.90	 2.72	12.74	301.56633	 44.45826	-54.6	0.266	i11585	103	335583360	1080713219	0	0.000700	7,11,12,15,26,28	0,1,13,14,17,19,21,22,30	UNINIT
N0302221335	2413155.437406	1894.892979	11.98	 0.26	13.82	301.56518	 44.45730	-52.2	0.030	i11963	103	33554560	1349412864	0	0.000700	7,25	11,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413316.729456	1895.334875	13.08	 0.36	13.70	301.56753	 44.45821	 76.8	0.343	i12780	97	75497600	1349410819	0	0.000700	7,23,26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2413385.657011	1895.523718	13.13	 0.33	13.62	301.56489	 44.45603	 46.3	0.443	i13045	97	67117184	1349410819	0	0.000700	7,13,26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
