year,mag_bin,uncertainty,high,low,date,pg,lx,ly,se
,,,,,1994.62,0.189526,,,
,,,,,1988.65,0.190133,,,
,,,,,1982.9,0.192388,,,
,,,,,1951.61,0.192647,,,
,,,,,1952.66,0.193874,,,
,,,,,1934.62,0.194599,,,
,,,,,1957.49,0.197591,,,
,,,,,1959.54,0.203721,,,
,,,,,1975.83,0.205522,,,
,,,,,1937.99,0.205539,,,
,,,,,1994.83,0.206465,,,
,,,,,1939.53,0.207518,,,
,,,,,1938.41,0.208467,,,
,,,,,1959.75,0.208585,,,
,,,,,1958.61,0.208846,,,
,,,,,1937.83,0.210108,,,
,,,,,1960.78,0.210795,,,
,,,,,1990.49,0.212449,,,
,,,,,1951.84,0.215148,,,
,,,,,1979.9,0.216263,,,
,,,,,1991.92,0.217116,,,
,,,,,1975.78,0.221795,,,
,,,,,1988.69,0.223714,,,
,,,,,1963.12,0.225566,,,
,,,,,1959.93,0.226944,,,
,,,,,1991.91,0.231297,,,
,,,,,1939.7,0.231373,,,
,,,,,1937.54,0.233863,,,
,,,,,1994.71,0.234556,,,
,,,,,1934.52,0.235027,,,
,,,,,1962.93,0.2371,,,
,,,,,1986.53,0.239148,,,
,,,,,1992.81,0.240783,,,
,,,,,1965.82,0.24129,,,
,,,,,1961.8,0.242149,,,
,,,,,1967.94,0.245576,,,
,,,,,1969.94,0.24631,,,
,,,,,1957.72,0.247767,,,
,,,,,1980.69,0.250156,,,
,,,,,1939.77,0.251525,,,
,,,,,1977.62,0.255266,,,
,,,,,1934.54,0.257565,,,
,,,,,1957.76,0.258966,,,
,,,,,1966.95,0.261203,,,
,,,,,1982.8,0.26489,,,
,,,,,1961.85,0.265547,,,
,,,,,1935.76,0.267761,,,
,,,,,1980.91,0.270279,,,
,,,,,1966.79,0.273065,,,
,,,,,1970.77,0.273796,,,
,,,,,1991.86,0.275429,,,
,,,,,1975.77,0.276899,,,
,,,,,1937.77,0.279527,,,
,,,,,1959.76,0.280157,,,
,,,,,1963.39,0.286547,,,
,,,,,1935.68,0.28656,,,
,,,,,1968.39,0.286768,,,
,,,,,1970.61,0.288287,,,
,,,,,1990.94,0.289899,,,
,,,,,1988.93,0.292922,,,
,,,,,1960.56,0.295955,,,
,,,,,1972.04,0.296104,,,
,,,,,1983.69,0.299212,,,
,,,,,1958.64,0.299214,,,
,,,,,1957.67,0.300118,,,
,,,,,1993.86,0.300485,,,
,,,,,1981.69,0.301022,,,
,,,,,1986.85,0.305411,,,
,,,,,1938.72,0.307859,,,
,,,,,1975.69,0.308799,,,
,,,,,1953.77,0.315533,,,
,,,,,1974.78,0.315893,,,
,,,,,1937.84,0.317772,,,
,,,,,1987.48,0.318322,,,
,,,,,1935.69,0.318582,,,
,,,,,1939.39,0.328562,,,
,,,,,1992.5,0.331965,,,
,,,,,1952.73,0.333949,,,
,,,,,1984.73,0.335746,,,
,,,,,1941.01,0.336219,,,
,,,,,1965.27,0.342768,,,
,,,,,1969.72,0.3462,,,
,,,,,1990.7,0.353319,,,
,,,,,1973.57,0.361515,,,
,,,,,1965.85,0.36274,,,
,,,,,1940.89,0.366487,,,
,,,,,1977.69,0.377114,,,
,,,,,1959.76,0.381735,,,
,,,,,1935.69,0.39828,,,
,,,,,1978.27,0.406184,,,
,,,,,1968.4,0.406652,,,
,,,,,1994.61,0.412315,,,
,,,,,1959.84,0.417372,,,
,,,,,1986.84,0.422458,,,
,,,,,1980.77,0.423982,,,
,,,,,1962.74,0.425739,,,
,,,,,1940.52,0.432358,,,
,,,,,1974.65,0.432807,,,
,,,,,1962.1,0.438592,,,
,,,,,1957.58,0.43938,,,
,,,,,1953.31,0.461189,,,
,,,,,1963.25,0.464853,,,
,,,,,1938.82,0.4656,,,
,,,,,1993.7,0.465821,,,
,,,,,1986.68,0.467204,,,
,,,,,1937.59,0.472109,,,
,,,,,1964.13,0.478846,,,
,,,,,1990.87,0.486169,,,
,,,,,1962.69,0.511535,,,
,,,,,1962.89,0.514108,,,
,,,,,1959.62,0.516351,,,
,,,,,1975.7,0.519057,,,
,,,,,1975.62,0.52562,,,
,,,,,1983.63,0.525726,,,
,,,,,1959.78,0.525912,,,
,,,,,1987.49,0.531684,,,
,,,,,1990.86,0.534689,,,
,,,,,1959.76,0.560428,,,
,,,,,1962.9,0.560908,,,
,,,,,1977.92,0.572755,,,
,,,,,1984.75,0.577764,,,
,,,,,1958.86,0.590507,,,
,,,,,1990.81,0.751,,,
,,,,,1960.73,0.829222,,,
