title  Photometry data for K8462852 from search centered on KIC8462852 using the kepler calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
K8462852	2412993.612858	1894.449624	12.08	 0.27	13.50	301.56490	 44.45705	 61.3	0.309	i11180	164	0	1357852672	640	0.000700		12,13,16,17,18,19,21,22,23,28,30	7,9
K8462852	2412998.623981	1894.463353	12.38	 0.35	13.08	301.56286	 44.45610	 72.3	0.269	i11198	164	75497600	1357787139	641	0.000700	7,23,26	0,1,12,13,17,18,19,21,22,23,28,30	0,7,9
K8462852	2413051.560716	1894.608386	12.02	 0.28	13.58	301.56498	 44.45750	 46.6	0.504	i11325	164	128	1357852672	641	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,7,9
K8462852	2413059.604715	1894.630424	11.96	 0.31	13.49	301.56484	 44.45705	-26.4	0.222	a00820	164	128	1492070400	648	0.007500	7	12,13,16,17,18,19,21,22,23,27,28,30	3,7,9
K8462852	2413113.543572	1894.778202	11.91	 2.81	12.64	301.56633	 44.45826	-54.6	0.266	i11585	164	335583360	1089089539	657	0.000700	7,11,12,15,26,28	0,1,12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2413155.437406	1894.892979	11.83	 0.35	13.78	301.56529	 44.45736	-51.6	0.030	i11963	164	33554560	1357787136	641	0.000700	7,25	12,13,17,18,19,21,22,23,28,30	0,7,9
K8462852	2413316.729456	1895.334875	12.81	99.00	13.61	301.56759	 44.45808	 76.8	0.343	i12780	164	379588736	1357789187	513	0.000700	7,12,21,23,25,26,28	0,1,11,12,13,17,18,19,21,22,23,28,30	0,9
K8462852	2413385.657011	1895.523718	12.85	 0.50	13.31	301.56491	 44.45587	 46.3	0.443	i13045	164	67117184	1357787139	657	0.000700	7,13,26	0,1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413405.753393	1895.578776	12.06	 0.33	13.11	301.56450	 44.45737	-54.0	0.267	i13143	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413408.683246	1895.586803	12.04	 0.36	13.48	301.56480	 44.45736	 35.5	0.227	i13161	164	128	1357853696	705	0.000700	7	10,12,13,16,17,18,19,21,22,23,28,30	0,6,7,9
K8462852	2413436.639280	1895.663395	11.99	 0.35	13.53	301.56462	 44.45728	 53.5	0.316	i13301	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413436.656940	1895.663444	11.97	 0.39	13.09	301.56429	 44.45741	 21.9	0.145	i13302	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413436.793613	1895.663818	12.41	 0.21	12.59	301.56561	 44.45810	 13.6	0.578	a01627	164	377528448	1089089539	641	0.007500	7,13,15,23,25,26,28	0,1,12,13,17,19,21,22,23,30	0,7,9
K8462852	2413438.614588	1895.668807	11.83	 0.23	13.69	301.56481	 44.45720	-40.7	0.440	a01635	164	0	1357852672	640	0.007500		12,13,16,17,18,19,21,22,23,28,30	7,9
K8462852	2413438.624443	1895.668834	11.74	 0.40	14.19	301.56478	 44.45697	 -0.5	0.149	i13317	164	128	1357854720	513	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2413439.746354	1895.671908	11.97	 0.40	12.83	301.56401	 44.45683	 81.3	0.334	i13366	164	67108864	1357787139	640	0.000700	26	0,1,12,13,17,18,19,21,22,23,28,30	7,9
K8462852	2413441.569806	1895.676904	12.46	 0.30	13.52	301.56680	 44.45761	 22.4	0.428	i13421	164	128	1357852674	656	0.000700	7	1,12,13,16,17,18,19,21,22,23,28,30	4,7,9
K8462852	2413449.704382	1895.699190	12.27	 0.41	13.40	301.56335	 44.45534	 41.0	0.554	a01663	164	77594752	1357787139	641	0.007500	7,21,23,26	0,1,12,13,17,18,19,21,22,23,28,30	0,7,9
K8462852	2413450.581362	1895.701593	11.93	 0.17	12.28	301.56476	 44.45742	-66.8	0.549	a01670	164	8192	1357787136	640	0.007500	13	12,13,17,18,19,21,22,23,28,30	7,9
K8462852	2413468.526551	1895.750758	11.94	 0.28	12.37	301.56442	 44.45713	 57.7	0.389	i13578	164	8320	1357787136	657	0.000700	7,13	12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413503.532722	1895.846665	11.85	 0.32	12.47	301.56478	 44.45728	 51.1	0.307	i13780	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413586.922958	1896.074926	11.76	99.00	12.70	301.56387	 44.45597	 61.8	0.612	i14350	164	41949312	1357787138	4737	0.000700	7,11,12,23,25	1,12,13,17,18,19,21,22,23,28,30	0,7,9,12
K8462852	2413614.909871	1896.151393	12.14	 0.25	13.87	301.56520	 44.45702	 69.2	0.514	i14520	164	128	1357854720	513	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2413643.810193	1896.230356	12.07	 0.30	14.00	301.56480	 44.45717	 52.5	0.061	i14711	164	128	1357854720	513	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2413672.832193	1896.309651	12.71	 3.19	13.05	301.56285	 44.45712	 -1.4	0.507	i14981	164	67156096	1357787139	657	0.000700	7,11,12,13,15,26	0,1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413753.815759	1896.530917	11.72	 0.17	14.14	301.56474	 44.45731	-19.5	0.433	i15463	164	128	1357852675	641	0.000700	7	0,1,12,13,16,17,18,19,21,22,23,28,30	0,7,9
K8462852	2413769.670890	1896.574237	11.98	 0.29	13.59	301.56483	 44.45736	 86.1	0.354	i15539	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413791.640672	1896.634264	11.88	 1.88	12.64	301.56160	 44.45499	 38.6	0.523	i15728	164	276863104	1089089539	657	0.000700	7,11,12,15,23,28	0,1,12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2413807.667445	1896.678053	12.63	 0.28	13.68	301.56723	 44.45903	 85.8	0.417	i15872	164	111149184	1357787139	657	0.000700	7,21,23,25,26	0,1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413823.658366	1896.721744	12.08	 0.37	13.19	301.56476	 44.45730	 63.5	0.510	i15963	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413826.681944	1896.730005	12.10	 0.29	12.56	301.56589	 44.45498	-10.6	0.231	i16009	164	77602944	1357787139	657	0.000700	7,13,21,23,26	0,1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2413852.498152	1896.800541	12.05	 3.26	12.81	301.56172	 44.45517	 40.4	0.387	i16191	164	276863104	1089089539	657	0.000700	7,11,12,15,23,28	0,1,12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2413857.566346	1896.814389	11.97	 0.21	12.36	301.56481	 44.45723	-81.3	0.241	i16260	164	8320	1357787136	641	0.000700	7,13	12,13,17,18,19,21,22,23,28,30	0,7,9
K8462852	2413881.443621	1896.879627	12.26	 0.66	12.89	301.56777	 44.45975	 49.6	0.595	i16569	164	268468352	23726083	529	0.000700	7,15,28	0,1,11,17,19,21,22,24	0,4,9
K8462852	2413905.525567	1896.945425	11.78	 1.16	12.60	301.56187	 44.45486	 35.4	0.447	i16731	164	310417536	1089089539	657	0.000700	7,11,12,15,23,25,28	0,1,12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2413937.473157	1897.032803	12.09	 0.53	12.84	301.56309	 44.45559	 43.6	0.582	i17048	164	268468352	1089155074	657	0.000700	7,15,28	1,12,13,16,17,19,21,22,23,30	0,4,7,9
K8462852	2414034.842980	1897.299570	12.54	 0.22	13.59	301.56733	 44.45697	-64.4	0.186	i17934	164	111149184	1357787139	657	0.000700	7,21,23,25,26	0,1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414142.713834	1897.595106	11.67	 1.79	12.19	301.56307	 44.45530	 39.1	0.486	i18428	164	276863104	1089089539	657	0.000700	7,11,12,15,23,28	0,1,12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2414150.777541	1897.617199	11.95	 0.21	13.23	301.56506	 44.45709	-59.9	0.233	i18540	164	0	1357852672	640	0.000700		12,13,16,17,18,19,21,22,23,28,30	7,9
K8462852	2414154.735448	1897.628042	11.94	 0.32	14.21	301.56475	 44.45711	 55.7	0.418	i18557	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414176.612097	1897.687978	12.47	 2.06	12.59	301.56377	 44.45678	 42.0	0.278	i18711	164	268482688	1089089539	657	0.000700	7,11,12,13,15,28	0,1,12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2414187.705073	1897.718370	12.09	 0.24	12.62	301.56485	 44.45698	-59.0	0.134	i18942	164	0	1357852672	640	0.000700		12,13,16,17,18,19,21,22,23,28,30	7,9
K8462852	2414193.617530	1897.734569	12.15	 0.22	13.15	301.56528	 44.45688	-49.0	0.243	i19018	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414233.548950	1897.843970	12.09	 1.33	12.74	301.56208	 44.45477	 27.7	0.495	i19445	164	377526400	1089091587	529	0.000700	7,11,12,15,23,25,26,28	0,1,11,12,13,17,19,21,22,23,30	0,4,9
K8462852	2414265.472233	1897.931431	12.41	 3.10	12.51	301.56478	 44.45820	 36.4	0.245	i19694	164	335591552	1089089539	641	0.000700	7,11,12,13,15,26,28	0,1,12,13,17,19,21,22,23,30	0,7,9
K8462852	2414291.468485	1898.002653	12.01	 0.35	13.32	301.56509	 44.45738	 78.3	0.435	i19873	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414291.510037	1898.002767	12.30	 0.33	12.81	301.56694	 44.45834	 61.4	0.315	i19876	164	109052032	1357787139	657	0.000700	7,23,25,26	0,1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414303.444060	1898.035463	12.06	 0.27	12.95	301.56479	 44.45730	 77.6	0.450	i20032	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414401.845872	1898.305057	11.42	 1.78	12.82	301.56600	 44.45669	 58.6	0.288	i20740	164	276863168	1089089539	657	0.000700	6,7,11,12,15,23,28	0,1,12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2414478.831631	1898.515977	12.02	 0.15	13.34	301.56476	 44.45717	-64.7	0.288	i20994	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414560.540305	1898.739836	11.96	 0.16	12.97	301.56467	 44.45717	 87.0	0.440	i21242	164	0	1357852672	640	0.000700		12,13,16,17,18,19,21,22,23,28,30	7,9
K8462852	2414565.655987	1898.753852	12.28	 0.20	12.55	301.56356	 44.45656	-84.3	0.137	i21320	164	8396928	1357787138	657	0.000700	7,13,23	1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414755.850476	1899.274933	12.33	 0.35	12.37	301.56248	 44.45585	 43.0	0.517	ac00280	164	8192	1357787136	384	0.000700	13	12,13,17,18,19,21,22,23,28,30	7,8
K8462852	2414768.841839	1899.310526	11.89	 0.17	14.21	301.56479	 44.45730	 78.9	0.179	i22770	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414773.814902	1899.324150	11.82	 0.24	12.42	301.56718	 44.45589	 65.9	0.506	ac00312	164	33554432	1357789184	256	0.000700	25	11,12,13,17,18,19,21,22,23,28,30	8
K8462852	2414781.822853	1899.346090	12.45	 0.40	12.65	301.56092	 44.45445	 22.8	0.299	ac00316	164	8396800	1357787136	384	0.000700	13,23	12,13,17,18,19,21,22,23,28,30	7,8
K8462852	2414798.797986	1899.392597	11.97	 0.38	14.13	301.56496	 44.45718	 85.6	0.192	i22898	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414809.664199	1899.422368	12.01	 0.30	14.13	301.56489	 44.45733	-37.3	0.161	i22981	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414809.706793	1899.422484	11.96	 0.36	11.97	301.56458	 44.45715	-55.0	0.326	i22982	164	8320	1357789184	529	0.000700	7,13	11,12,13,17,18,19,21,22,23,28,30	0,4,9
K8462852	2414809.820029	1899.422795	11.93	 0.30	14.50	301.56516	 44.45732	 53.3	0.317	i22986	164	128	1357854720	513	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2414809.838037	1899.422844	11.84	 0.22	12.24	301.56518	 44.45721	 62.7	0.375	i22987	164	8320	1357787136	657	0.000700	7,13	12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414814.584615	1899.435848	12.30	 0.26	13.23	301.56390	 44.45774	-73.4	0.322	i22995	164	128	1357854722	513	0.000700	7	1,11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2414814.593963	1899.435874	11.78	 0.24	12.25	301.56573	 44.45756	-79.5	0.334	i22996	164	8320	1357787136	657	0.000700	7,13	12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414814.604007	1899.435901	11.90	 0.31	12.57	301.56516	 44.45728	  5.1	0.202	i22997	164	128	1357854720	513	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2414814.614049	1899.435929	12.03	 0.29	13.10	301.56340	 44.45738	  3.9	0.321	i22998	164	128	1357854722	513	0.000700	7	1,11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2414814.621667	1899.435950	11.84	 0.20	13.40	301.56472	 44.45657	 37.1	0.421	i22999	164	128	1357854720	513	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2414814.632402	1899.435979	12.53	 0.24	12.63	301.56657	 44.45763	-45.5	0.222	i23000	164	10494080	1357787138	657	0.000700	7,13,21,23	1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414814.690232	1899.436138	12.07	 0.28	12.53	301.56487	 44.45756	 16.5	0.361	i23003	164	8320	1357787136	657	0.000700	7,13	12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414814.758451	1899.436325	11.91	 0.30	13.04	301.56489	 44.45735	 17.2	0.268	i23008	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414814.827016	1899.436512	11.82	 0.21	12.67	301.56498	 44.45747	 44.6	0.145	i23010	164	128	1357854720	513	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,9
K8462852	2414823.623418	1899.460612	12.42	 0.23	12.66	301.56423	 44.45751	 84.8	0.220	i23043	164	10368	1357787138	657	0.000700	7,11,13	1,12,13,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414823.713106	1899.460858	11.91	 0.26	12.14	301.56453	 44.45685	-41.7	0.020	i23044	164	8320	1357787136	641	0.000700	7,13	12,13,17,18,19,21,22,23,28,30	0,7,9
K8462852	2414825.744425	1899.466423	11.90	 0.22	13.30	301.56484	 44.45716	 -0.9	0.325	i23061	164	128	1357854720	529	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,4,9
K8462852	2414832.644525	1899.485327	11.99	 1.85	13.12	301.56472	 44.45668	 33.0	0.326	i23080	164	268474496	1089089536	657	0.000700	7,11,12,15,28	12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2414832.756721	1899.485635	12.05	99.00	13.20	301.56460	 44.45715	 63.2	0.199	i23082	164	6272	1357787136	641	0.000700	7,11,12	12,13,17,18,19,21,22,23,28,30	0,7,9
K8462852	2414832.793428	1899.485735	12.21	 1.51	13.07	301.56487	 44.45673	 89.3	0.126	i23083	164	268441728	1357524992	641	0.000700	7,11,12,28	12,13,17,19,21,22,23,28,30	0,7,9
K8462852	2414832.819053	1899.485806	11.66	 1.31	11.94	301.56471	 44.45560	 36.0	0.284	i23084	164	268482688	1089089539	657	0.000700	7,11,12,13,15,28	0,1,12,13,17,19,21,22,23,30	0,4,7,9
K8462852	2414833.755409	1899.488371	12.12	 0.32	12.53	301.56394	 44.45634	 23.0	0.182	ac00354	164	8320	1357787136	385	0.000700	7,13	12,13,17,18,19,21,22,23,28,30	0,7,8
K8462852	2414837.599173	1899.498902	12.11	 1.64	13.31	301.56521	 44.45736	  7.5	0.372	i23108	164	285251712	1357524992	657	0.000700	7,11,12,15,24,28	12,13,17,19,21,22,23,28,30	0,4,7,9
K8462852	2414846.768766	1899.524024	11.80	 0.20	12.92	301.56475	 44.45706	 76.2	0.096	i23144	164	128	1357854720	529	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,4,9
K8462852	2414847.719658	1899.526629	11.94	 0.20	13.57	301.56517	 44.45703	-54.0	0.477	i23150	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2414910.548059	1899.698762	12.39	 0.31	13.60	301.56623	 44.45821	 38.2	0.100	i23461	164	128	1353658371	641	0.000700	7	0,1,12,13,16,17,18,19,21,23,28,30	0,7,9
K8462852	2415089.917837	1900.190186	12.23	 0.29	12.78	301.56468	 44.45624	 78.3	0.570	i24755	164	128	1357852674	657	0.000700	7	1,12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2415113.864784	1900.255794	11.92	 0.32	14.67	301.56487	 44.45735	-23.6	0.236	i25022	164	128	1357852672	641	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,7,9
K8462852	2415125.839409	1900.288601	12.12	 0.31	13.86	301.56478	 44.45689	 -7.5	0.091	i25181	164	0	1357854720	512	0.000700		11,12,13,16,17,18,19,21,22,23,28,30	9
K8462852	2415150.785754	1900.356947	12.33	 0.30	13.00	301.56451	 44.45754	-29.5	0.165	i25327	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2415289.632357	1900.737349	11.75	 0.47	11.75	301.56501	 44.45725	-87.6	0.533	i25882	164	8320	1357789184	529	0.000700	7,13	11,12,13,17,18,19,21,22,23,28,30	0,4,9
K8462852	2415296.559783	1900.756328	12.19	 0.35	13.68	301.56486	 44.45719	 31.6	0.145	a04773	164	33554560	1492004864	648	0.007500	7,25	12,13,17,18,19,21,22,23,27,28,30	3,7,9
K8462852	2415312.554853	1900.800150	12.12	 0.25	13.58	301.56461	 44.45724	 68.8	0.523	i25952	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2415326.561023	1900.838523	12.09	 0.28	13.81	301.56483	 44.45732	-85.1	0.557	i26005	164	128	1357852672	641	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,7,9
K8462852	2415334.593519	1900.860530	11.97	 0.19	13.22	301.56499	 44.45733	 66.9	0.598	i26024	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2415371.534136	1900.961737	12.42	 0.36	12.65	301.56824	 44.45800	 69.5	0.228	ac01064	164	8192	1357787138	384	0.000700	13	1,12,13,17,18,19,21,22,23,28,30	7,8
K8462852	2415435.903616	1901.138092	12.04	 0.25	12.58	301.56380	 44.45665	-68.8	0.367	ac01268	164	33554432	1357787136	384	0.000700	25	12,13,17,18,19,21,22,23,28,30	7,8
K8462852	2415613.687157	1901.625170	11.97	 0.30	14.34	301.56477	 44.45712	-89.6	0.179	i27325	164	128	1357854720	529	0.000700	7	11,12,13,16,17,18,19,21,22,23,28,30	0,4,9
K8462852	2415636.742882	1901.688337	12.24	 0.16	13.47	301.56328	 44.45613	 88.7	0.553	ac01732	164	67108864	1357787139	384	0.000700	26	0,1,12,13,17,18,19,21,22,23,28,30	7,8
K8462852	2415673.624441	1901.789382	12.18	 0.31	12.89	301.56601	 44.45655	-77.8	0.203	ac01864	164	0	1357852672	384	0.000700		12,13,16,17,18,19,21,22,23,28,30	7,8
K8462852	2415676.462732	1901.797158	12.05	 0.29	14.16	301.56466	 44.45737	 24.1	0.150	i27798	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2415676.531292	1901.797346	12.32	 0.26	13.16	301.56468	 44.45682	 22.5	0.240	i27801	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2415676.572843	1901.797460	12.45	 0.27	13.04	301.56357	 44.45631	 40.2	0.258	i27804	164	128	1357852675	641	0.000700	7	0,1,12,13,16,17,18,19,21,22,23,28,30	0,7,9
K8462852	2415676.631015	1901.797619	12.29	 0.37	13.14	301.56462	 44.45712	 63.5	0.162	i27806	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
K8462852	2415676.692649	1901.797788	12.51	 0.29	13.06	301.56381	 44.45572	 68.1	0.063	i27808	164	8388736	1357852674	641	0.000700	7,23	1,12,13,16,17,18,19,21,22,23,28,30	0,7,9
K8462852	2415683.463403	1901.816338	12.04	 0.17	13.43	301.56490	 44.45703	 22.9	0.326	i27850	164	128	1357852672	657	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	0,4,7,9
