lightcurve_x,lightcurve_y
0.9858332272111325,1.0
1.0,1.0
1.0,1.0
1.0000000002108083,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0000000002108083,1.0
1.0000000001967386,1.0
1.0,1.0
1.0,1.000000000298128
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.000000000298128
1.0,1.000000000298128
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.000000000298128
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.000000000298128
1.0,1.0
1.0,1.0
1.0,1.000000000298128
0.9999999997507832,1.000000000298128
1.0,1.0
1.0,1.0
0.9999999997507832,1.0
1.0,1.0
1.0,1.0
0.9999999997507832,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0000000002108083
1.0,0.9999999997507832
1.0,0.9992459271372834
1.0,0.9772189087199967
1.0,0.9413101686742781
1.0,0.8967789295952836
1.0,0.84609726532475
1.0,0.7910023429877504
1.0,0.7329298741863937
1.0,0.6731853834874468
1.0,0.7202963933679646
1.0,0.779550506880669
1.0,0.8365127427652402
1.0,0.8895883079947544
1.0,0.936799970714063
1.0,0.9753134097305145
1.0,0.9991810906676035
1.0,1.0
1.0,0.9799529084504335
1.0,0.9102534394522428
1.0,0.8195697363627993
1.0,0.7186411157435154
1.0,0.7185511434719075
1.0,0.8188405223567522
1.0,0.908537261193018
1.0,0.9777619572169369
1.0,1.0000000002108083
1.0,1.0
1.0,1.0
1.0,0.9868559951009679
1.0,0.9590738937314912
1.0,0.9229741210133254
1.0,0.8806394806004109
1.0,0.8333689039537046
1.0,0.7821581494393277
1.0,0.7278793039921307
1.0,0.671379505040882
1.0,0.7197771206909392
1.0,0.7778986655756016
1.0,0.835063307675933
1.0,0.8896210796586353
1.0,0.9392004450010665
1.0,0.9798333740219518
1.0,1.0
1.0,1.0
1.0,1.0
0.9862636258556139,1.0
0.9171038274266494,1.0
0.8224553859686776,1.0
0.7151111483814897,1.000000000298128
0.7293112929139259,1.0
0.8357779366038731,1.0
0.9282128050570684,1.0
0.9922900709985162,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9999999997507832
1.0,1.0
1.0,1.0
1.0,1.0
0.9999999997507832,1.0
1.0,0.9999999997507832
0.9999999997507832,0.9741259430107024
1.0,0.8867031416260331
1.0,0.7735581195627826
1.0,0.6832875985823759
1.0,0.8050709937559996
1.0,0.9128282336039429
1.0,0.9893178090360498
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9999999999859303
1.0,0.9999999999859303
1.0,1.0
0.9999999999859303,0.9999999999859303
0.9999999999859303,1.0
1.0,1.0
0.9992637202093827,1.0
0.9695706369997006,1.0
0.9207925644935498,0.9999999999859303
0.860815809134876,0.9999999999859303
0.7934978678805692,1.0
0.7216871999869329,1.0
0.6854787970984768,1.0
0.7589662084213822,1.0
0.8296466835789422,1.0
0.8947204239193424,1.0
0.9505654276128065,1.0
0.9911203413887882,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,0.9999999999859303
1.0,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,1.0
0.9896707860598505,1.0
0.9232280952170934,1.0
0.8311692932002847,1.0
0.7269190275910554,1.0
0.7144320997031897,0.9999999999859303
0.8189130556653629,1.0
0.9119703494827424,1.0
0.9821732203405502,0.9999999999859303
1.0,1.0
1.0,1.0
1.0000000002108083,1.0
1.0000000002108083,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,0.9999999999859303
1.000000000298128,1.0
1.000000000298128,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9999999999859303
0.9997232533794896,1.0
0.9845252612455698,1.0
0.9590337751763856,1.0
0.92717921710255,1.0
0.8906632631049904,1.0
0.8505996733420049,1.0
0.8078403340393076,0.9999999999859303
0.7630990164945491,0.9999999999859303
0.7170126317795522,0.9999999999859303
0.6701777376743006,0.9999999999859303
0.7101569731915685,0.9999999999859303
0.7567354250335937,1.0
0.8022716052849042,1.0
0.8460882798540585,1.0
0.8874093826309026,1.0
0.9252897933747984,0.9999999999859303
0.9584712233739923,1.0
0.9849945097791639,0.9999999999859303
0.9999974558872639,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
0.9999999997507832,1.0
0.9999999997507832,0.9999999999859303
1.0,1.0
0.9999999997507832,1.0
1.0,1.0
0.9999999997507832,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9999999999859303
1.0,0.9999999999859303
1.0,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9999999999859303
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9999999997507832
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,0.9995864201531223
1.0,0.9783509275004652
1.0,0.9428353184855599
1.0,0.8985765445827854
1.0,0.8480921000991772
1.0,0.7931360753709092
1.0,0.7351516208245212
1.0,0.6754471995152601
1.0,0.7180423433774109
1.0,0.7773543751780096
1.0,0.834429902659081
1.0,0.8876840651191339
1.0,0.9351595572153047
1.0,0.9740717618057421
1.0,0.9987427133907364
1.0,1.0
1.0,0.9819367735562341
1.0,0.9133734873348855
1.0,0.8232530776964457
1.0,0.722570023867778
